# Bundled ECO opening dataset for chess.opening.EcoBook (Phase 2).
# Tab-separated: ECO<TAB>name<TAB>SAN moves. ECO codes are indicative.
# Validated for legality + canonical engine-SAN by EcoDatasetSpec.
C20	King's Pawn Game	e4 e5
C40	King's Knight Opening	e4 e5 Nf3
C41	Philidor Defense	e4 e5 Nf3 d6
C42	Petrov Defense	e4 e5 Nf3 Nf6
C43	Petrov Defense: Steinitz	e4 e5 Nf3 Nf6 d4
C44	Ponziani Opening	e4 e5 Nf3 Nc6 c3
C44	Scotch Game	e4 e5 Nf3 Nc6 d4
C45	Scotch Game: Main	e4 e5 Nf3 Nc6 d4 exd4 Nxd4
C46	Three Knights Game	e4 e5 Nf3 Nc6 Nc3
C47	Four Knights Game	e4 e5 Nf3 Nc6 Nc3 Nf6
C50	Italian Game	e4 e5 Nf3 Nc6 Bc4
C50	Italian Game: Giuoco Piano	e4 e5 Nf3 Nc6 Bc4 Bc5
C53	Giuoco Piano: Classical	e4 e5 Nf3 Nc6 Bc4 Bc5 c3
C51	Evans Gambit	e4 e5 Nf3 Nc6 Bc4 Bc5 b4
C55	Two Knights Defense	e4 e5 Nf3 Nc6 Bc4 Nf6
C57	Two Knights: Fried Liver Attack	e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5
C60	Ruy Lopez	e4 e5 Nf3 Nc6 Bb5
C60	Ruy Lopez: Morphy Defense	e4 e5 Nf3 Nc6 Bb5 a6
C63	Ruy Lopez: Schliemann Defense	e4 e5 Nf3 Nc6 Bb5 f5
C65	Ruy Lopez: Berlin Defense	e4 e5 Nf3 Nc6 Bb5 Nf6
C68	Ruy Lopez: Exchange Variation	e4 e5 Nf3 Nc6 Bb5 a6 Bxc6
C77	Ruy Lopez: Morphy, Closed	e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6
C84	Ruy Lopez: Closed	e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7
C89	Ruy Lopez: Marshall Attack	e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 O-O c3 d5
C25	Vienna Game	e4 e5 Nc3
C30	King's Gambit	e4 e5 f4
C33	King's Gambit Accepted	e4 e5 f4 exf4
C23	Bishop's Opening	e4 e5 Bc4
B20	Sicilian Defense	e4 c5
B21	Sicilian: Smith-Morra Gambit	e4 c5 d4
B22	Sicilian: Alapin Variation	e4 c5 c3
B23	Sicilian: Closed	e4 c5 Nc3
B23	Sicilian: Grand Prix Attack	e4 c5 Nc3 Nc6 f4
B27	Sicilian Defense	e4 c5 Nf3
B30	Sicilian: Rossolimo Variation	e4 c5 Nf3 Nc6 Bb5
B40	Sicilian Defense: French Variation	e4 c5 Nf3 e6
B50	Sicilian Defense	e4 c5 Nf3 d6
B54	Sicilian: Open	e4 c5 Nf3 d6 d4 cxd4 Nxd4
B90	Sicilian Defense: Najdorf	e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6
B70	Sicilian Defense: Dragon	e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6
B80	Sicilian Defense: Scheveningen	e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 e6
B32	Sicilian: Kalashnikov	e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5
B33	Sicilian Defense: Sveshnikov	e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5
B36	Sicilian: Accelerated Dragon	e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 g6
B41	Sicilian Defense: Kan	e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6
B44	Sicilian Defense: Taimanov	e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nc6
C00	French Defense	e4 e6
C01	French Defense: Exchange	e4 e6 d4 d5 exd5
C02	French Defense: Advance	e4 e6 d4 d5 e5
C03	French Defense: Tarrasch	e4 e6 d4 d5 Nd2
C10	French Defense: Rubinstein	e4 e6 d4 d5 Nc3 dxe4
C11	French Defense: Classical	e4 e6 d4 d5 Nc3 Nf6
C15	French Defense: Winawer	e4 e6 d4 d5 Nc3 Bb4
B10	Caro-Kann Defense	e4 c6
B10	Caro-Kann: Two Knights Attack	e4 c6 Nc3 d5 Nf3
